   wave             C        sig sigcal    lorange    hirange
3964.45      95.61153     31.563  0.420      4.960     53.900
3965.05      95.30238     31.396  0.419      4.925     53.617
3965.66       94.9956     31.230  0.418      4.891     53.336
3966.27      94.69114     31.067  0.418      4.856     53.058
3966.87        94.389     30.905  0.416      4.822     52.782
3967.48      94.08913     30.744  0.415      4.788     52.509
3968.08      93.79152     30.585  0.414      4.754     52.238
3968.69      93.49614     30.428  0.414      4.721     51.969
3969.29      93.20297     30.272  0.413      4.688     51.703
 3969.9      92.91198     30.117  0.412      4.655     51.439
 3970.5      92.62315     29.964  0.411      4.623     51.177
3971.11      92.33645     29.813  0.410      4.591     50.918
3971.72      92.05186     29.662  0.409      4.559     50.661
3972.32      91.76936     29.514  0.408      4.527     50.406
3972.93      91.48893     29.366  0.407      4.496     50.153
3973.54      91.21054     29.220  0.406      4.465     49.902
3974.14      90.93417     29.076  0.405      4.434     49.653
3974.75       90.6598     28.932  0.404      4.403     49.407
3975.35      90.38741     28.790  0.403      4.373     49.162
3975.96      90.11698     28.649  0.402      4.343     48.920
3976.57      89.84848     28.510  0.401      4.313     48.679
3977.17       89.5819     28.371  0.401      4.284     48.441
3977.78      89.31722     28.234  0.400      4.254     48.204
3978.39      89.05441     28.099  0.399      4.225     47.969
3978.99      88.79347     27.964  0.398      4.196     47.736
 3979.6      88.53435     27.830  0.397      4.168     47.505
3980.21      88.27706     27.698  0.396      4.139     47.276
3980.81      88.02157     27.567  0.395      4.111     47.049
3981.42      87.76786     27.437  0.395      4.083     46.824
3982.03      87.51591     27.308  0.394      4.055     46.600
3982.64      87.26571     27.180  0.393      4.028     46.378
3983.24      87.01723     27.054  0.392      4.000     46.158
3983.85      86.77046     26.928  0.391      3.973     45.939
3984.46      86.52539     26.804  0.390      3.946     45.722
3985.07      86.28199     26.680  0.389      3.920     45.507
3985.67      86.04025     26.558  0.389      3.893     45.294
3986.28      85.80015     26.436  0.388      3.867     45.082
3986.89      85.56168     26.316  0.387      3.841     44.872
 3987.5      85.32481     26.197  0.386      3.815     44.663
 3988.1      85.08954     26.078  0.385      3.789     44.456
3988.71      84.85585     25.961  0.384      3.763     44.251
3989.32      84.62371     25.845  0.384      3.738     44.047
3989.93      84.39313     25.729  0.383      3.713     43.845
3990.54      84.16407     25.615  0.382      3.688     43.644
3991.15      83.93654     25.501  0.381      3.663     43.444
3991.75       83.7105     25.389  0.381      3.639     43.246
3992.36      83.48595     25.277  0.380      3.614     43.050
3992.97      83.26287     25.166  0.379      3.590     42.855
3993.58      83.04125     25.056  0.378      3.566     42.661
3994.19      82.82108     24.947  0.377      3.542     42.469
 3994.8      82.60234     24.839  0.377      3.518     42.278
 3995.4      82.38501     24.731  0.376      3.495     42.089
3996.01      82.16908     24.625  0.375      3.471     41.901
3996.62      81.95455     24.519  0.374      3.448     41.714
3997.23      81.74139     24.414  0.374      3.425     41.529
3997.84       81.5296     24.310  0.373      3.402     41.345
3998.45      81.31916     24.207  0.372      3.379     41.162
3999.06      81.11005     24.105  0.371      3.357     40.981
3999.67      80.90227     24.003  0.371      3.334     40.800
4000.28      80.69581     23.902  0.370      3.312     40.621
4000.89      80.49064     23.802  0.369      3.290     40.444
 4001.5      80.28677     23.703  0.369      3.268     40.267
4002.11      80.08417     23.604  0.368      3.246     40.092
4002.72      79.88283     23.506  0.367      3.224     39.918
4003.32      79.68275     23.409  0.366      3.202     39.745
4003.93      79.48391     23.312  0.366      3.181     39.573
4004.54      79.28631     23.217  0.365      3.160     39.403
4005.15      79.08992     23.122  0.364      3.139     39.234
4005.76      78.89474     23.028  0.364      3.118     39.065
4006.37      78.70076     22.934  0.363      3.097     38.898
4006.98      78.50796     22.841  0.362      3.076     38.732
4007.59      78.31634     22.749  0.361      3.055     38.568
 4008.2      78.12589     22.657  0.361      3.035     38.404
4008.81      77.93659     22.566  0.360      3.015     38.241
4009.42      77.74843     22.476  0.359      2.995     38.080
4010.03      77.56141     22.387  0.359      2.974     37.919
4010.65      77.37552     22.298  0.358      2.955     37.760
4011.26      77.19073     22.210  0.357      2.935     37.601
4011.87      77.00705     22.122  0.357      2.915     37.444
4012.48      76.82447     22.035  0.356      2.895     37.288
4013.09      76.64297     21.949  0.355      2.876     37.132
 4013.7      76.46255     21.863  0.355      2.857     36.978
4014.31      76.28319     21.778  0.354      2.837     36.824
4014.92      76.10489     21.693  0.353      2.818     36.672
4015.53      75.92764     21.609  0.353      2.799     36.521
4016.14      75.75143     21.526  0.352      2.781     36.370
4016.75      75.57624     21.443  0.351      2.762     36.221
4017.36      75.40208     21.361  0.351      2.743     36.072
4017.98      75.22893     21.279  0.350      2.725     35.924
4018.59      75.05678     21.198  0.349      2.706     35.778
 4019.2      74.88562     21.117  0.349      2.688     35.632
4019.81      74.71545     21.037  0.348      2.670     35.487
4020.42      74.54626     20.958  0.347      2.652     35.343
4021.03      74.37804     20.879  0.347      2.634     35.200
4021.65      74.21078     20.800  0.346      2.616     35.058
4022.26      74.04448     20.722  0.346      2.598     34.916
4022.87      73.87911     20.645  0.345      2.580     34.776
4023.48      73.71469     20.568  0.344      2.563     34.636
4024.09      73.55119     20.492  0.344      2.545     34.497
 4024.7      73.38862     20.416  0.343      2.528     34.359
4025.32      73.22696     20.341  0.343      2.511     34.222
4025.93       73.0662     20.266  0.342      2.494     34.086
4026.54      72.90634     20.192  0.341      2.477     33.950
4027.15      72.74738     20.118  0.341      2.460     33.815
4027.77       72.5893     20.044  0.340      2.443     33.682
4028.38      72.43209     19.971  0.340      2.426     33.548
4028.99      72.27576     19.899  0.339      2.409     33.416
 4029.6      72.12028     19.827  0.338      2.393     33.284
4030.22      71.96566     19.755  0.338      2.376     33.154
4030.83      71.81189     19.684  0.337      2.360     33.024
4031.44      71.65896     19.614  0.336      2.343     32.894
4032.05      71.50687     19.544  0.336      2.327     32.766
4032.67       71.3556     19.474  0.335      2.311     32.638
4033.28      71.20516     19.404  0.335      2.295     32.511
4033.89      71.05552     19.335  0.334      2.279     32.385
4034.51       70.9067     19.267  0.334      2.263     32.259
4035.12      70.75868     19.199  0.333      2.247     32.134
4035.73      70.61145     19.132  0.332      2.232     32.010
4036.35      70.46501     19.065  0.332      2.216     31.886
4036.96      70.31935     18.998  0.331      2.200     31.763
4037.57      70.17447     18.931  0.331      2.185     31.641
4038.19      70.03036     18.866  0.330      2.169     31.520
 4038.8      69.88701     18.800  0.329      2.154     31.399
4039.41      69.74442     18.735  0.329      2.139     31.279
4040.03      69.60258     18.670  0.328      2.124     31.160
4040.64      69.46149     18.606  0.328      2.109     31.041
4041.25      69.32114     18.542  0.327      2.094     30.923
4041.87      69.18152     18.478  0.327      2.079     30.805
4042.48      69.04263     18.415  0.326      2.064     30.688
 4043.1      68.90446     18.353  0.326      2.049     30.572
4043.71      68.76701     18.290  0.325      2.034     30.457
4044.33      68.63027     18.228  0.324      2.020     30.342
4044.94      68.49424     18.166  0.324      2.005     30.227
4045.55      68.35891     18.105  0.323      1.991     30.114
4046.17      68.22428     18.044  0.323      1.976     30.000
4046.78      68.09033     17.983  0.322      1.962     29.888
 4047.4      67.95707     17.923  0.322      1.948     29.776
4048.01      67.82449     17.863  0.321      1.934     29.665
4048.63      67.69258     17.804  0.320      1.919     29.554
4049.24      67.56134     17.744  0.320      1.905     29.444
4049.86      67.43077     17.686  0.319      1.891     29.334
4050.47      67.30085     17.627  0.319      1.877     29.225
4051.09      67.17159     17.569  0.318      1.864     29.117
 4051.7      67.04298     17.511  0.318      1.850     29.009
4052.32      66.91501     17.454  0.317      1.836     28.902
4052.93      66.78768     17.396  0.317      1.822     28.795
4053.55      66.66099     17.340  0.316      1.809     28.689
4054.16      66.53492     17.283  0.316      1.795     28.583
4054.78      66.40948     17.227  0.315      1.782     28.478
4055.39      66.28467     17.171  0.315      1.768     28.373
4056.01      66.16046     17.115  0.314      1.755     28.269
4056.62      66.03687     17.060  0.314      1.742     28.166
4057.24      65.91389     17.005  0.313      1.729     28.062
4057.85       65.7915     16.950  0.313      1.715     27.960
4058.47      65.66972     16.896  0.312      1.702     27.858
4059.09      65.54853     16.842  0.312      1.689     27.757
 4059.7      65.42792     16.788  0.311      1.676     27.656
4060.32      65.30791     16.734  0.310      1.663     27.555
4060.93      65.18847     16.682  0.310      1.650     27.455
4061.55      65.06961     16.628  0.309      1.638     27.356
4062.17      64.95132     16.576  0.309      1.625     27.257
4062.78       64.8336     16.523  0.308      1.612     27.158
 4063.4      64.71644     16.471  0.308      1.599     27.060
4064.01      64.59984     16.419  0.307      1.587     26.963
4064.63       64.4838     16.368  0.307      1.574     26.865
4065.25      64.36831     16.317  0.306      1.562     26.769
4065.86      64.25337     16.266  0.306      1.549     26.673
4066.48      64.13897     16.215  0.305      1.537     26.577
 4067.1      64.02511     16.165  0.305      1.525     26.482
4067.71      63.91178     16.115  0.304      1.512     26.387
4068.33      63.79899     16.065  0.304      1.500     26.293
