    wave             C         sig   sigcal     lorange     hirange
 4475.51      27.49737       1.926    0.035       0.453       2.331
 4476.47      27.50703       1.926    0.035       0.451       2.333
 4477.44      27.51731       1.926    0.035       0.450       2.335
  4478.4      27.52823       1.926    0.035       0.448       2.338
 4479.37      27.53977       1.926    0.035       0.446       2.340
 4480.33      27.55194       1.927    0.035       0.444       2.343
  4481.3      27.56474       1.927    0.035       0.442       2.346
 4482.26      27.57817       1.927    0.035       0.440       2.348
 4483.23      27.59222       1.928    0.035       0.439       2.351
 4484.19      27.60691       1.928    0.035       0.437       2.354
 4485.16      27.62223       1.929    0.035       0.435       2.357
 4486.12      27.63818       1.929    0.035       0.433       2.361
 4487.09      27.65476       1.930    0.035       0.431       2.364
 4488.05      27.67198       1.931    0.035       0.429       2.367
 4489.02      27.68982       1.932    0.035       0.428       2.371
 4489.98      27.70831       1.933    0.035       0.426       2.375
 4490.94      27.72743       1.934    0.035       0.424       2.378
 4491.91      27.74718       1.935    0.035       0.422       2.382
 4492.87      27.76758       1.936    0.035       0.420       2.386
 4493.83      27.78861       1.937    0.035       0.418       2.390
  4494.8      27.81028       1.938    0.035       0.417       2.394
 4495.76       27.8326       1.939    0.035       0.415       2.399
 4496.72      27.85556       1.941    0.035       0.413       2.403
 4497.69      27.87917       1.942    0.034       0.411       2.408
 4498.65      27.90342       1.944    0.034       0.409       2.412
 4499.61      27.92832       1.946    0.034       0.407       2.417
 4500.57      27.95387       1.947    0.034       0.405       2.422
 4501.54      27.98007       1.949    0.034       0.403       2.427
  4502.5      28.00693       1.950    0.034       0.401       2.432
 4503.46      28.03445       1.953    0.034       0.399       2.437
 4504.42      28.06262       1.954    0.034       0.397       2.443
 4505.39      28.09146       1.957    0.034       0.395       2.448
 4506.35      28.12095       1.959    0.034       0.394       2.454
 4507.31      28.15112       1.961    0.034       0.392       2.460
 4508.27      28.18195       1.963    0.034       0.390       2.465
 4509.23      28.21345       1.965    0.034       0.388       2.471
 4510.19      28.24563       1.967    0.034       0.386       2.477
 4511.15      28.27848       1.970    0.034       0.384       2.484
 4512.11      28.31201       1.973    0.034       0.382       2.490
 4513.08      28.34622       1.975    0.034       0.379       2.496
 4514.04      28.38112       1.978    0.034       0.377       2.503
  4515.0       28.4167       1.981    0.034       0.375       2.510
 4515.96      28.45298       1.983    0.034       0.373       2.517
 4516.92      28.48994       1.986    0.034       0.371       2.524
 4517.88      28.52761       1.989    0.034       0.369       2.531
 4518.84      28.56598       1.992    0.034       0.367       2.538
  4519.8      28.60505       1.996    0.034       0.365       2.545
 4520.76      28.64483       1.999    0.034       0.363       2.553
 4521.72      28.68533       2.002    0.034       0.361       2.560
 4522.68      28.72654       2.006    0.034       0.358       2.568
 4523.64      28.76846       2.009    0.034       0.356       2.576
  4524.6      28.81112       2.013    0.034       0.354       2.584
 4525.55       28.8545       2.016    0.034       0.352       2.592
 4526.51      28.89861       2.020    0.034       0.349       2.601
 4527.47      28.94346       2.024    0.034       0.347       2.609
 4528.43      28.98905       2.028    0.034       0.345       2.618
